matchId,queueId,gameDuration,blue_win,first_tower,first_dragon,first_herald,first_grub,blue_gold_10,red_gold_10,blue_xp_10,red_xp_10,blue_cs_10,red_cs_10,blue_kills_10,red_kills_10,gold_diff_10,cs_diff_10,xp_diff_10,kills_diff_10
EUN1_3830286977,420,2248,1,red,blue,red,red,13609,13370,16889,16003,174,187,4,2,239,-13,886,2
EUN1_3830307017,420,1896,1,red,blue,blue,blue,14683,12245,15890,15210,195,201,5,0,2438,-6,680,5
EUN1_3830671280,420,999,1,blue,blue,blue,red,14336,12562,13762,13828,148,162,7,2,1774,-14,-66,5
EUN1_3830680693,420,2021,1,red,red,blue,blue,14532,12473,17454,15529,200,181,4,0,2059,19,1925,4
EUN1_3830696669,420,1438,1,blue,red,blue,blue,17430,14252,16761,15257,170,129,13,7,3178,41,1504,6
EUN1_3830737485,420,2307,1,blue,red,blue,blue,13041,13493,16005,16154,178,195,1,3,-452,-17,-149,-2
EUN1_3831016178,420,1904,0,blue,red,red,blue,14579,15234,16679,16923,191,198,4,7,-655,-7,-244,-3
EUN1_3831034362,420,1470,0,red,red,blue,blue,14405,15094,16524,15924,161,204,6,7,-689,-43,600,-1
EUN1_3831045634,420,1908,0,blue,red,blue,blue,13652,13174,15026,16108,180,180,3,4,478,0,-1082,-1
EUN1_3831064949,420,1617,0,red,red,red,red,15221,14728,14984,15485,184,177,7,5,493,7,-501,2
EUN1_3831131840,420,1605,0,red,red,red,red,14194,15748,16796,16963,148,220,6,7,-1554,-72,-167,-1
EUN1_3831153693,420,986,0,red,red,,blue,13743,14133,16182,15740,204,168,3,6,-390,36,442,-3
EUN1_3831704220,420,1889,1,blue,blue,red,red,14096,11961,16297,14870,183,147,4,2,2135,36,1427,2
EUN1_3831716146,420,2090,0,red,red,red,blue,13871,17258,14433,18396,167,200,5,12,-3387,-33,-3963,-7
EUN1_3831727436,420,1626,1,blue,red,blue,red,17453,13815,16444,15673,187,188,12,4,3638,-1,771,8
EUN1_3831768280,420,1738,0,red,red,red,blue,13064,15778,15924,16335,170,173,2,9,-2714,-3,-411,-7
EUN1_3831800505,420,2016,0,red,blue,blue,red,13012,14057,14597,15232,169,171,3,5,-1045,-2,-635,-2
EUN1_3831888780,420,1967,1,blue,red,blue,blue,13921,12944,16502,15800,199,171,2,1,977,28,702,1
EUN1_3831905057,420,1710,0,red,red,red,red,12921,14653,15256,16848,171,203,2,4,-1732,-32,-1592,-2
EUN1_3832195738,420,1775,1,red,red,red,red,14720,13922,15516,15825,158,173,6,4,798,-15,-309,2
EUN1_3832241290,420,1568,0,red,red,red,blue,13164,14830,16194,16660,160,166,4,7,-1666,-6,-466,-3
EUN1_3832716963,420,1986,1,blue,red,red,blue,15336,14457,16799,15074,190,143,9,6,879,47,1725,3
EUN1_3832812393,420,3675,1,blue,red,blue,blue,14635,13759,16231,15732,199,166,4,4,876,33,499,0
EUN1_3832852093,420,1326,0,red,red,red,blue,13220,16338,14312,16506,162,180,4,11,-3118,-18,-2194,-7
EUN1_3832858405,420,1956,0,red,red,red,blue,16998,15259,16731,15168,200,174,9,7,1739,26,1563,2
EUN1_3833039946,420,1852,1,blue,red,red,red,13893,13137,17048,15772,209,199,3,1,756,10,1276,2
EUN1_3833061773,420,2372,0,red,blue,blue,blue,13142,13774,14771,15830,151,164,4,4,-632,-13,-1059,0
EUN1_3833089837,420,2493,1,blue,blue,blue,red,16214,12988,18350,15327,185,180,11,3,3226,5,3023,8
EUN1_3833173387,420,2044,0,red,blue,red,red,13177,14196,15066,14439,182,161,2,7,-1019,21,627,-5
EUN1_3833181050,420,2020,1,blue,blue,red,blue,14366,14135,15681,16031,190,179,4,5,231,11,-350,-1
EUN1_3833191439,420,1714,1,blue,red,blue,blue,16332,13141,16761,15524,178,169,8,3,3191,9,1237,5
EUN1_3833221365,420,1636,0,red,red,red,blue,14147,15719,14734,16730,159,188,6,6,-1572,-29,-1996,0
EUN1_3833367524,420,1452,1,blue,blue,blue,blue,17207,13713,17431,15536,188,175,12,5,3494,13,1895,7
EUN1_3833400382,420,2936,0,red,blue,blue,blue,16544,13541,16616,14712,180,135,9,6,3003,45,1904,3
EUN1_3833546603,420,1389,1,blue,red,red,blue,13875,13266,16248,15437,188,191,4,2,609,-3,811,2
EUN1_3833574230,420,1906,1,red,red,blue,red,14775,14149,15532,15557,192,168,5,6,626,24,-25,-1
EUN1_3833729445,420,2134,0,blue,red,blue,red,14367,13643,16020,16117,201,155,3,5,724,46,-97,-2
EUN1_3833774991,420,2596,1,blue,blue,,blue,14852,13185,16127,15152,187,183,6,4,1667,4,975,2
EUN1_3833834386,420,2116,1,red,red,red,blue,12940,15084,15012,16541,195,206,2,6,-2144,-11,-1529,-4
EUN1_3833878552,420,2388,1,blue,blue,blue,red,14751,14655,14872,15142,179,155,4,8,96,24,-270,-4
EUN1_3834161960,420,1674,1,blue,blue,blue,blue,14555,12616,16798,15252,208,190,5,1,1939,18,1546,4
EUN1_3834185747,420,2567,0,red,blue,red,red,12390,14923,13898,15669,134,157,4,8,-2533,-23,-1771,-4
EUN1_3834387321,420,1995,1,blue,blue,blue,blue,15079,14097,16408,15784,192,176,6,5,982,16,624,1
